"","unique_dates","X.Intercept.","revenue","cor","rnd","ebit","netinc","epsdil","ncfo","ncfi","capex","ncfdiv","intangibles","debt","de","pe","pb","fcfps","assets","netmargin","marketcap","dps"
"1",20110331,-0.13969512962553,3.94183889155319e-12,-4.97501426051572e-12,-7.24343337841888e-11,-1.9852525240415e-11,1.85985547032294e-11,-0.00106548325336157,-6.65372834463549e-12,-8.65020363183925e-13,2.40508133801937e-11,-5.9584273896043e-11,-8.81984397863947e-13,1.82993588042065e-13,-8.50254434033539e-05,6.25836621289848e-05,0.000115807268500529,0.00344762369953255,-2.60406162850185e-13,-2.97038863234605e-05,1.5114988933375e-12,0.00522569779830055
"2",20110630,-0.0231281572252259,-5.66895876754272e-12,4.99933227021817e-12,7.13192542109143e-12,2.17095270885456e-11,-1.15417680179102e-11,0.00996114948924534,-6.14467401848787e-12,-2.42419577276097e-12,-1.94262466815167e-12,-3.83093924844625e-11,7.222331100663e-14,1.21289210945138e-14,-1.59593809965333e-05,1.0176216640016e-05,2.15231272733394e-05,0.00252232148567049,2.15005563911576e-14,-6.46380478099975e-05,-2.03221791588675e-13,0.0264613784961474
"3",20110930,0.0985460756020231,9.66286243667513e-12,-1.08879250834724e-11,3.58878805266681e-11,7.45608348549079e-11,-1.01851777550483e-10,0.00394788456175896,-7.91279505160504e-12,1.83146559866232e-13,1.45105155467863e-11,7.3763897278644e-11,2.2259970738493e-13,2.09946069988087e-13,0.000793648829224082,-1.08445434799014e-05,-0.000673987504852276,0.00343627327965031,-7.16816205139086e-14,0.000113194849285628,-4.37826210474407e-13,-0.00714373384197976
"4",20111231,-0.016409042774362,1.15550061989148e-11,-1.14277331885192e-11,-4.34179383271375e-11,-1.03332089434813e-11,3.6197302642734e-12,-0.000790821391617687,1.54596667497337e-12,-9.93608919512711e-13,6.08105183526693e-11,-1.55152402210741e-11,-6.06692789602576e-13,-7.7318288029932e-14,-2.59155179521649e-05,9.76583804035557e-06,4.18403488389302e-05,-4.10642952817589e-05,-1.20660681636879e-13,-0.000958857371624121,9.01971744134261e-13,-0.000266707577371171
"5",20120331,-0.017301217590675,-1.07838087448881e-11,6.43753710553917e-12,-2.59072801120218e-11,5.39090692870824e-11,-7.44700443976914e-11,0.00303832640888765,1.61948827733366e-12,1.72643176808815e-13,-1.08715541761294e-11,-6.36884064056764e-11,8.56098597183798e-13,9.09260114812142e-14,9.62243111390848e-07,6.47338788742583e-07,-1.18737696464178e-05,0.00553298089219717,-2.7390202837692e-14,0.000343984578104096,3.40946529358103e-13,-0.00230524783315269
"6",20120630,0.0125870771035665,1.08772753653342e-11,-9.29385835443541e-12,-3.7605885476055e-11,-3.33420582336542e-11,1.67939825780561e-11,0.0120811457081717,-5.7967767588568e-12,1.94860195973851e-13,-6.21887827054826e-13,2.85555713774028e-11,-9.7669283890385e-13,-1.20925142219308e-14,-9.56030094838192e-05,1.02740749312922e-06,0.000250216499854239,0.00439457915414177,7.69408347621154e-14,-1.37299261808016e-07,2.23714718438035e-13,0.00563951120115002
"7",20120930,0.115794107219337,1.4255748013504e-12,1.83024785575173e-13,2.08258538442857e-11,5.14463019489395e-11,-2.77958491844097e-11,-0.00422275836504445,7.06864540518311e-12,-1.94505100052789e-12,5.55839917106998e-11,5.34319841900261e-11,3.16813103413938e-13,3.43683442805899e-13,-0.000247551782198967,4.07452051758885e-05,0.000150373097591866,-1.87630643268778e-05,-7.2527038220997e-14,-3.25403673827593e-07,-1.11235884323336e-12,-0.00900499552201483
"8",20121231,0.042571033345748,1.1579600953295e-11,-1.11373434980413e-11,2.69278093802036e-11,-2.64096435009926e-11,2.29443225126987e-11,0.00132339746501428,-5.73436431515848e-12,3.49201773994315e-12,-1.93591151845031e-11,-3.33433210382597e-12,-3.36030624957754e-14,-4.81056786849486e-14,0.000246746691278555,1.28518185886019e-05,-0.000130978906562393,4.56445569460633e-05,4.94772578516126e-15,-1.51241010223049e-06,-4.70108262496711e-13,-0.00198401189935678
"9",20130331,0.0799261071837939,5.64304011555586e-12,-2.52209748183272e-12,4.14685299078892e-11,4.58091531811322e-12,2.17473895883356e-12,0.00355236772096165,2.69162323244117e-13,5.0899644294843e-12,1.79915484335409e-11,4.51886558150036e-11,6.15777341024502e-13,-4.55578853629323e-13,0.000150098637570127,3.51997536347679e-05,-0.000375013833116371,0.00321345041514488,2.1709006763342e-13,2.19810296200649e-06,-7.89006173349135e-13,-0.0768102869029912
"10",20130630,0.0414865636427445,1.14420146368662e-13,1.28724581669937e-12,-1.2343108685169e-11,-4.70290663362284e-11,6.63586791024216e-11,0.00684541798891741,7.96581163096573e-12,4.27314146517054e-12,-8.22935091843152e-12,6.6656432520904e-11,-3.08105653937745e-13,-4.44505770349825e-15,-0.000257188794504177,8.6908855876409e-06,0.000263046793741135,0.00145567034425788,-9.44438325974146e-14,1.34732832692671e-05,2.69688144128622e-13,-0.00420611491718526
"11",20130930,0.0799908984553273,1.0964922609075e-12,1.14115233116614e-12,6.08267484125648e-11,3.36779604920485e-12,2.3568654924127e-11,-0.00695298866638175,2.70213841195844e-12,-2.87646986766033e-12,3.16021776907478e-11,4.43451702304065e-11,6.67663942450543e-13,1.68417370895803e-13,-6.91085551846787e-05,-3.91831798185473e-05,6.32225114916223e-05,2.01698794279664e-05,-1.12043126614163e-13,-8.77565273285926e-05,-4.93304792341197e-13,-0.0929636015060468
"12",20131231,-0.036154549379636,3.68857852077803e-12,-1.37357834481381e-12,-5.32980967926484e-12,-1.31865134357991e-11,-2.29094679401212e-12,0.00933631123033223,4.00230785683514e-12,-5.63318770141469e-13,-9.23295701639079e-12,-6.22424993546657e-11,2.71980436531921e-13,2.03569424173828e-14,0.000870605464182133,1.01532752965918e-05,-0.000277642924050786,-0.000226066613016993,2.09335000091711e-15,0.000160137672356566,-3.11014896033797e-13,0.0254479661367878
